IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP31;IP_PROP32;IP_PROP33;IP_PROP34;IC_GROUP0;IC_GROUP1;IC_GROUP2
625;Бумажный пакет Русское Море;625;Y;;;/upload/iblock/63e/63ea624129480c108463f724855f1e33.jpg;"Пакет выполнен из мелованной бумаги с офсетной печатью, матовой ламинацией и тиснением.
";text;/upload/iblock/099/099ecf738da4c0e2b2647a5a39ad6c9b.jpg;"Пакет выполнен из мелованной бумаги с офсетной печатью, матовой ламинацией и тиснением.
";text;bumazhnyy-paket-russkoe-more;500;;;;;;Пакеты, упаковка;Бумажные пакеты;
627;Бумажный пакет White Hills;627;Y;;;/upload/iblock/02a/02a4151cb7dd7b68599eb4eec1c63ef3.jpg;Пакет выполнен из мелованной бумаги с офсетной печатью и ламинацией;text;/upload/iblock/017/0176c24f9df5010d8a9d538a139175e9.jpg;Пакет выполнен из мелованной бумаги с офсетной печатью и ламинацией;text;bumazhnyy-paket-white-hills;500;;;;;;Пакеты, упаковка;Бумажные пакеты;
216;Фирменный бланк CFT;485;Y;26.08.2014 17:27:10;;/upload/iblock/86e/86e13070008ddf020dac7fae0c0f97de.JPG;Бланки самокопирующиеся, А5, 2 листа;html;/upload/iblock/cb2/cb2cac1dc9577c096cdcc75a2ee75670.JPG;Бланки самокопирующиеся, А5, 2 листа.;html;cft;500;;Фирменный бланк CFT;Фирменный бланк CFT;Фирменный бланк CFT;/upload/iblock/d71/d714a84fd0670ebdb00341ae200040c8.JPG;Деловая полиграфия;Бланки;
241;Визитки Credit;510;Y;26.08.2014 19:04:21;;/upload/iblock/209/209f246909f5d383be4e063acf9c5c53.jpg;Авантаж 300гр, цифровая печать;html;/upload/iblock/42f/42f4d227cf4c96bced1e66ff2f13fd61.jpg;Авантаж 300гр, цифровая печать.;html;credit;500;;;Компания СловоДело изготавливает полиграфическую продукцию визитки Credit на цифровой печати, авантаж 300гр;;;Деловая полиграфия;Визитки;
25;Дайджест;306;Y;08.11.2013 11:49:25;;/upload/iblock/12b/12b6ecf2ccfc39de8540756095160209.jpg;Презентационная брошюра. Бумага – GardaPat слоновая кость, матовая ламинация обложки 32мкн, индивидуальная подарочная лента, упаковка в ТУ пленку;text;/upload/iblock/b6a/b6ab5c0881dae2abb786246aa2407ea6.jpg;;html;daydzhest;500;;Дайджест;Дайджест;Дайджест;/upload/iblock/ee1/ee1997c5f174b1525559616ffa3fe157.jpg;Брошюры;;
203;Диджипак CASE;473;Y;26.08.2014 14:41:56;;/upload/iblock/a4e/a4ec3f7d558fa2ca4330c53f3491cfd0.jpg;Digipack с двумя спайдерами, матовая лакминация;html;/upload/iblock/063/063d6254597964bc6132ddfa3b6b915c.jpg;Digipack с двумя спайдерами, матовая лакминация.;html;didzhipak-case;500;;Диджипак CASE;Диджипак CASE;Диджипак CASE;;CD и DVD-продукция;;
205;Диджипак White Hills;474;Y;26.08.2014 14:59:24;;/upload/iblock/66c/66c1b7ae9b8bb43c3062d706e2af379e.jpg;Печать на мелованном картоне, вырубка, склейка, пластиковый трей;html;/upload/iblock/f27/f279f74cf26146e987f43763da0116dc.jpg;Печать на мелованном картоне, вырубка, склейка, пластиковый трей.;html;didzhipak-white-hills;500;;ДИДЖИПАК WHITE HILLS;ДИДЖИПАК WHITE HILLS;ДИДЖИПАК WHITE HILLS;/upload/iblock/c39/c3941a0304423ae14a7ed7ecc9980b78.jpg;CD и DVD-продукция;;
212;Digipack с брошюрой;481;Y;26.08.2014 15:26:50;;/upload/iblock/b21/b211c9512b5fc356245c3a4a704898f3.jpg;Кашированный Digipack с 34 полосной брошюрой, на обложке мягкий спайдер с записанным диском;html;/upload/iblock/e7b/e7bff56bbb9a9b2c8d17e3c6e30043f5.jpg;Кашированный Digipack с 34 полосной брошюрой, на обложке мягкий спайдер с записанным диском.;html;digipack-s-broshyuroy;500;;Digipack с брошюрой;Digipack с брошюрой;Digipack с брошюрой;/upload/iblock/d4a/d4aa9eeb7eb5626a9d9aa8ab087a4f3b.jpg;CD и DVD-продукция;;
212;Digipack с брошюрой;481;Y;26.08.2014 15:26:50;;/upload/iblock/b21/b211c9512b5fc356245c3a4a704898f3.jpg;Кашированный Digipack с 34 полосной брошюрой, на обложке мягкий спайдер с записанным диском;html;/upload/iblock/e7b/e7bff56bbb9a9b2c8d17e3c6e30043f5.jpg;Кашированный Digipack с 34 полосной брошюрой, на обложке мягкий спайдер с записанным диском.;html;digipack-s-broshyuroy;500;;Digipack с брошюрой;Digipack с брошюрой;Digipack с брошюрой;/upload/iblock/3cd/3cd7bc266b8b2c8a7dcc79952f0c42e8.jpg;CD и DVD-продукция;;
237;Визитки Динамо;506;Y;26.08.2014 18:44:18;;/upload/iblock/329/3298a99b77fcfca53be9a22a319d276d.jpg;Цифровая печать на мелованной бумаге 4+4, матовая ламинация 125 мкн 1+1, Выборочный рельефный лак со сложным совмещением;html;/upload/iblock/b4f/b4fd76095a29917f1fd6a325ffcf9fca.jpg;Цифровая печать на мелованной бумаге 4+4, матовая ламинация 125 мкн 1+1, Выборочный рельефный лак со сложным совмещением.;html;dinamo;500;;Визитки Динамо;Визитки Динамо;Визитки Динамо;;Деловая полиграфия;Визитки;
